feature,importance
B_10_first,0.24453080157983798
B_10_last,0.6945844650635107
B_10_last_first_diff,0.28056971263823655
B_10_last_mean_diff,0.5300753139374742
B_10_max,0.16776942238514753
B_10_max_min_diff,0.044013879255501875
B_10_mean,0.18395741398251175
B_10_min,0.3182698620785668
B_10_std,0.057503823517786226
B_10_sum,0.3205737290086483
B_11_first,0.0819219166837014
B_11_last,0.21887136264062668
B_11_last_first_diff,0.17561188578956202
B_11_last_mean_diff,0.6518389584107981
B_11_max,0.19279102252075445
B_11_max_min_diff,0.04417589311246181
B_11_mean,0.1081761889164557
B_11_min,0.19142544879890352
B_11_std,0.0907851750552507
B_11_sum,0.07734112759710464
B_12_first,0.20218119842487176
B_12_last,0.07353582747567503
B_12_last_first_diff,0.09740026952139876
B_12_last_mean_diff,0.1452962444431696
B_12_max,0.06772396118581205
B_12_max_min_diff,0.06430399928583329
B_12_mean,0.13491726024755304
B_12_min,0.0948781729564379
B_12_std,0.07747109905780053
B_12_sum,0.12932803515033126
B_13_first,0.09484877909902777
B_13_last,0.07372987964495294
B_13_last_first_diff,0.047943961107063435
B_13_last_mean_diff,0.08034817803758795
B_13_max,0.10215224647456139
B_13_max_min_diff,0.025732120904704316
B_13_mean,0.20795903175891817
B_13_min,0.18721099784725206
B_13_std,0.1209994113407512
B_13_sum,0.14720351812253904
B_14_first,0.10326435305326293
B_14_last,0.18514199886744379
B_14_last_first_diff,0.19363228023691542
B_14_last_mean_diff,0.715690188436141
B_14_max,0.16633179303908893
B_14_max_min_diff,0.07678078827530839
B_14_mean,0.1895594491219888
B_14_min,0.10202050718036533
B_14_std,0.06276541868038285
B_14_sum,0.05604886326262061
B_15_first,0.1360383924326396
B_15_last,0.14983241661192165
B_15_last_first_diff,0.18543609681867687
B_15_last_mean_diff,0.36826942015362557
B_15_max,0.15114038081237385
B_15_max_min_diff,0.07484431011948108
B_15_mean,0.15362246804754814
B_15_min,0.115021521561048
B_15_std,0.07956599684277757
B_15_sum,0.05806402624701855
B_16_first,0.1318288197416527
B_16_last,0.24406575926709012
B_16_last_first_diff,0.0837724051299906
B_16_last_mean_diff,0.15777779009638937
B_16_max,0.32876513167411064
B_16_max_min_diff,0.04538175123500264
B_16_mean,0.3557800801998631
B_16_min,0.08904368226742618
B_16_std,0.15847433185348567
B_16_sum,0.23334275517646869
B_17_first,0.1928522486837613
B_17_last,0.12136061902256719
B_17_last_first_diff,0.5245079925417463
B_17_last_mean_diff,0.21533157059042773
B_17_max,0.09332069246211372
B_17_max_min_diff,0.12287062234917652
B_17_mean,0.16009796223667622
B_17_min,0.13878721028726324
B_17_std,0.09552786619408671
B_17_sum,0.1408769986486493
B_18_first,0.4339589669799981
B_18_last,0.3531175690357988
B_18_last_first_diff,0.17135077962362838
B_18_last_mean_diff,0.16573889115794754
B_18_max,0.4424273648897649
B_18_max_min_diff,0.04695356268728311
B_18_mean,0.44725526116613223
B_18_min,0.15615269143421176
B_18_std,0.32755615734251115
B_18_sum,0.6043956266042182
B_19_first,0.15691075586113157
B_19_last,0.11307773892074414
B_19_last_first_diff,0.16364923358907313
B_19_last_mean_diff,0.23337014051212718
B_19_max,0.03814811793723457
B_19_max_min_diff,0.11120151437101077
B_19_mean,0.12772317195435628
B_19_min,0.0744802346685235
B_19_std,0.2031964438147098
B_19_sum,0.11229434822289172
B_1_first,0.05096132461738388
B_1_last,0.6628637740286069
B_1_last_first_diff,0.14614548343509445
B_1_last_mean_diff,0.7339801117992777
B_1_max,0.07024832757667412
B_1_max_min_diff,0.12068012219539578
B_1_mean,0.1861554573440551
B_1_min,0.11071141804292658
B_1_std,0.06707576697013728
B_1_sum,0.05831448539282609
B_20_first,0.03970016717475044
B_20_last,0.0501405032298438
B_20_last_first_diff,0.08233595735244713
B_20_last_mean_diff,0.25279645330840395
B_20_max,0.036611731604687316
B_20_max_min_diff,0.043828529696085715
B_20_mean,0.10671310287997887
B_20_min,0.031567418066032686
B_20_std,0.20856243177987657
B_20_sum,0.08917358891052427
B_21_first,0.14386040361872993
B_21_last,0.12969464416821508
B_21_last_first_diff,0.12795565950066765
B_21_last_mean_diff,0.27611191829425996
B_21_max,0.0909837296282558
B_21_max_min_diff,0.09222506322065215
B_21_mean,0.1927261808422928
B_21_min,0.12706173300901197
B_21_std,0.17337055698132176
B_21_sum,0.07235093585211254
B_22_first,0.024698302947276558
B_22_last,0.02302790696347991
B_22_last_first_diff,0.01583898633374847
B_22_last_mean_diff,0.23151550824401174
B_22_max,0.008930856182314758
B_22_max_min_diff,0.0064531349057400465
B_22_mean,0.11007273426587985
B_22_min,0.013600757291715239
B_22_std,0.03195698017491687
B_22_sum,0.13579602144491787
B_23_first,0.11882300503001993
B_23_last,0.4903310640731275
B_23_last_first_diff,0.3131954937969404
B_23_last_mean_diff,0.23294959910548665
B_23_max,0.1400467498463463
B_23_max_min_diff,0.38312519826973374
B_23_mean,0.2655370505544055
B_23_min,0.24621956650904914
B_23_std,0.27087331895891137
B_23_sum,0.1865768883527559
B_24_first,0.11804364773734749
B_24_last,0.1536319792290277
