feature,importance
B_1,57.35736007533225
B_10,47.399169497061706
B_11,39.96581980568032
B_12,44.569491749821424
B_13,42.959145669856504
B_14,44.234129493310796
B_15,41.11716135406118
B_16,50.517412611237596
B_17,49.80330374335177
B_18,58.42099781940604
B_19,41.281782512057845
B_2,44.331179255686266
B_20,48.05396153036256
B_21,44.59796045293012
B_22,57.9299887239808
B_23,47.29135102998596
B_24,35.41656204194412
B_25,45.80613964269948
B_26,47.78635316092188
B_27,39.311623335230635
B_28,36.079284401419585
B_29,39.866079830855824
B_3,39.07613090583864
B_30,50.32566353030188
B_31,34.50611347395135
B_32,33.72981081157422
B_33,55.90395962865069
B_36,35.277863508999914
B_37,57.06431508443501
B_38,41.72529639898586
B_39,38.491573440546105
B_4,54.090886895577306
B_40,46.054362612429706
B_41,34.90863983408296
B_42,31.544615819585196
B_5,46.38098648713432
B_6,37.32447992101295
B_7,51.714632349204166
B_8,49.406457178334456
B_9,57.74524111613264
D_102,37.006817094450774
D_103,40.08722624051912
D_104,34.98307403392349
D_105,42.13031977084656
D_106,35.850985009422374
D_107,41.10852112103658
D_108,38.975088986581675
D_109,34.275191074561505
D_110,39.64825165965572
D_111,35.36324681486806
D_112,47.043773441504264
D_113,41.07953194508261
D_114,36.253769548420635
D_115,42.504752220995854
D_116,24.251228967915345
D_117,40.7977842299366
D_118,38.561059931741845
D_119,43.672811747232586
D_120,36.9480439912908
D_121,43.21057518268487
D_122,38.88466780247184
D_123,42.09225254745538
D_124,38.91910377201293
D_125,40.45272024971053
D_126,32.70008451004107
D_127,41.18279015703519
D_128,41.367788494309316
D_129,48.423599704753954
D_130,37.28820877210674
D_131,45.432399137304124
D_132,40.68466198844123
D_133,42.88026690693744
D_134,40.35300601313373
D_135,33.838546308334564
D_136,38.37870564743679
D_137,38.25237962745569
D_138,39.22825456782344
D_139,38.274853483598335
D_140,38.99178705783927
D_141,38.62726102950865
D_142,38.08383176383064
D_143,40.826114315951564
D_144,39.95326843404152
D_145,40.55397872041922
D_39,48.57122156061421
D_41,50.06989868858019
D_42,55.52493445249505
D_43,50.79774047406108
D_44,57.5344585444823
D_45,50.97323761310509
D_46,51.38988323159441
D_47,47.381011949986956
D_48,59.969857502119076
D_49,46.34362956225338
D_50,50.77120383036528
D_51,44.47129503225868
D_52,52.85064669920068
D_53,37.17112724842712
D_54,47.36216810985193
D_55,45.64286989724204
D_56,48.13437844797211
D_58,46.12209532203893
D_59,42.888295365571686
D_60,43.119698902999424
D_61,47.64731751556397
D_62,52.039322334452436
D_65,49.73547021743222
D_66,40.13387002374566
D_68,38.20935779935354
D_69,34.42004533190476
D_70,44.854468644172215
D_71,41.84282922612199
D_72,40.98260587509835
D_73,33.590252558413994
D_74,47.05270752815575
D_75,52.99384181483812
D_76,39.692348802290084
D_77,49.81696116214351
D_78,48.96782271635236
D_79,41.86380253208425
D_80,35.487112937754915
D_81,37.42964817359945
D_82,40.13544704492879
D_83,36.73988326913493
D_84,49.48638223406247
D_86,34.27473115153462
D_87,11.736416905002537
D_88,28.783625840843655
D_89,41.01329728623586
D_91,39.27653299368859
D_92,39.10520137592425
D_93,34.177766089445505
D_94,39.33942282885731
D_96,35.16582607521309
P_2,60.427500471398446
P_3,49.42347776782421
P_4,43.50585151191471
R_1,55.726857652453674
R_10,55.72627106660375
R_11,42.70236932488821
R_12,41.872162721867184
R_13,43.05875416478481
R_14,39.96190632734943
R_15,42.55863150979255
R_16,50.11135036974454
R_17,34.87502890035245
R_18,39.49174737147352
R_19,40.039562042396845
R_2,51.22335019368721
R_20,37.77755174168019
R_21,43.3051334780283
R_22,35.87046656259744
R_23,39.092727697635624
R_24,34.28304510539311
R_25,39.55291451960609
R_26,36.799470402162555
R_27,49.48087705924603
R_28,33.30630059682924
R_3,45.816524064179994
R_4,54.13984038336439
R_5,37.446522957594404
R_6,51.43883631470166
R_7,51.46053169988791
R_8,45.752235599939475
R_9,39.941367378959995
S_11,39.48257850660359
S_12,41.16785971369989
S_13,40.646911861008824
S_15,51.90430171993904
S_16,40.5252684425757
S_17,34.08625853490037
S_18,39.02718450253799
S_19,32.96851830928933
S_20,41.53529755606808
S_22,47.7791187070458
S_23,51.26675531381976
S_24,44.295852009625975
S_25,45.94635571843493
S_26,44.847538011638875
S_27,36.3835996538648
S_3,52.34540329768937
S_5,45.915430607351304
S_6,43.10278089101209
S_7,48.61384163436592
S_8,43.7535633833985
S_9,41.08320092892886
