feature,importance
B_10_first,42.231859803552
B_10_last,47.76490496653153
B_10_max,41.76583060360974
B_10_mean,41.74124429793589
B_10_min,41.738402895140936
B_10_std,43.579795664261155
B_10_sum,42.511743117568344
B_11_first,42.12406078854504
B_11_last,59.735465627610225
B_11_max,40.73105007979913
B_11_mean,42.17627685303406
B_11_min,43.5243002648286
B_11_std,42.1126127297687
B_11_sum,40.97151034045359
B_12_first,42.12217258011465
B_12_last,42.24640188723093
B_12_max,42.557847778165176
B_12_mean,42.34123824594154
B_12_min,41.595827338303764
B_12_std,43.71857897451966
B_12_sum,41.90822618818085
B_13_first,42.86334104711828
B_13_last,42.39670293662696
B_13_max,41.90014205978438
B_13_mean,42.9147753861574
B_13_min,42.62669774807831
B_13_std,42.53019455581094
B_13_sum,41.48292692425307
B_14_first,41.936292242820315
B_14_last,47.61039514906686
B_14_max,41.404792910476914
B_14_mean,41.950514726099655
B_14_min,42.30715569490115
B_14_std,43.27755224102873
B_14_sum,39.87567227283124
B_15_first,43.06297733903271
B_15_last,44.26362754697039
B_15_max,41.585182833379605
B_15_mean,42.05590260124865
B_15_min,42.46874242800486
B_15_std,43.10623279180378
B_15_sum,40.01495453143165
B_16_first,36.049811756334606
B_16_last,33.66544015133496
B_16_max,34.57667576651984
B_16_mean,39.834969671705224
B_16_min,32.6472807268256
B_16_std,43.047362630975954
B_16_sum,38.6695504898562
B_17_first,45.094206081698374
B_17_last,50.414657951155455
B_17_max,44.19575022652491
B_17_mean,44.78808962207922
B_17_min,45.06001971514726
B_17_std,44.204909794759836
B_17_sum,38.80982726410605
B_18_first,39.89019744680095
B_18_last,57.64118855860298
B_18_max,39.17557413334851
B_18_mean,42.83403555593214
B_18_min,40.50790520239423
B_18_std,42.74011773714075
B_18_sum,46.322592356908224
B_19_first,36.57321285163609
B_19_last,38.11231431109793
B_19_max,36.07478853073743
B_19_mean,39.437314996253306
B_19_min,35.17329879338307
B_19_std,41.643892896074384
B_19_sum,38.95618285702944
B_1_first,41.75495870890282
B_1_last,61.89032425179529
B_1_max,40.873393406752015
B_1_mean,43.495038460167336
B_1_min,43.3851809338774
B_1_std,42.03987663873558
B_1_sum,40.92742031426282
B_20_first,31.328544983793158
B_20_last,43.52778968510298
B_20_max,32.856678044903006
B_20_mean,38.819732172803164
B_20_min,28.904856823166256
B_20_std,40.997949888785115
B_20_sum,37.08602822810785
B_21_first,43.43457083648286
B_21_last,43.804696507602415
B_21_max,44.07913112333873
B_21_mean,44.389630198960646
B_21_min,43.59462719869346
B_21_std,44.38627652290382
B_21_sum,43.09195405025222
B_22_first,25.47525559920503
B_22_last,48.48584359155887
B_22_max,26.472597870240886
B_22_mean,39.25207493169622
B_22_min,28.494513112896662
B_22_std,37.03973362576632
B_22_sum,36.47673130135298
B_23_first,41.528692008215124
B_23_last,52.07332398017024
B_23_max,40.79473061471712
B_23_mean,40.13456050158734
B_23_min,41.90917815171951
B_23_std,43.80024872197113
B_23_sum,39.52287119294751
B_24_first,43.09439020489411
B_24_last,44.69226571314753
B_24_max,42.364133562933446
B_24_mean,42.365752932677466
B_24_min,43.29274280508251
B_24_std,43.428718437197645
B_24_sum,41.20250208038374
B_25_first,42.31005614341715
B_25_last,45.33706324901005
B_25_max,41.34480847087109
B_25_mean,41.49218394334541
B_25_min,41.865620847875824
B_25_std,42.843414574525966
B_25_sum,40.4874881398978
B_26_first,43.54456061297163
B_26_last,51.806532845537646
B_26_max,42.796384428810185
B_26_mean,43.341838751732304
B_26_min,42.91840371284755
B_26_std,43.733583935678006
B_26_sum,41.459504629657445
B_27_first,43.273650761524976
B_27_last,43.56169373160098
B_27_max,43.19026540999188
B_27_mean,42.90155213972926
B_27_min,42.888453077621485
B_27_std,43.417861618071804
B_27_sum,42.01227170297125
B_28_first,43.1337092331088
B_28_last,41.439939625172045
B_28_max,40.25444502683349
B_28_mean,42.074585795509435
B_28_min,43.26516232706972
B_28_std,45.78472616751439
B_28_sum,40.9733794878812
B_29_first,39.220871737783135
B_29_last,39.50167603821528
B_29_max,38.8916067324295
B_29_mean,39.53198591978318
B_29_min,39.764020588301186
B_29_std,39.13292488820809
B_29_sum,36.94749843765899
B_2_first,42.9239259082758
B_2_last,61.81219944029763
B_2_max,42.47806352475126
B_2_mean,45.71359486877268
