feature,importance
B_10_first,45.07267819925172
B_10_last,48.11853833777314
B_10_last_first_diff,46.56755492018997
B_10_last_mean_diff,47.41870127834556
B_10_max,44.35982314687318
B_10_max_min_diff,44.565592491315314
B_10_mean,44.217836099150375
B_10_min,45.82404044052892
B_10_std,45.557828426055984
B_10_sum,45.51973574345779
B_11_first,44.55586540738981
B_11_last,58.325533464290984
B_11_last_first_diff,50.0783136347807
B_11_last_mean_diff,52.96022641563849
B_11_max,44.359661999712245
B_11_max_min_diff,43.331206412072376
B_11_mean,44.5572705618062
B_11_min,45.69220982728523
B_11_std,43.980005814568656
B_11_sum,42.89711662873552
B_12_first,45.24835184858633
B_12_last,45.849259863189616
B_12_last_first_diff,45.8509402763302
B_12_last_mean_diff,46.275543247032125
B_12_max,45.668150983141416
B_12_max_min_diff,45.16391696458329
B_12_mean,45.592859664679054
B_12_min,44.9931619187031
B_12_std,45.877849339402616
B_12_sum,44.77931730161406
B_13_first,45.95121254253805
B_13_last,45.322229744414805
B_13_last_first_diff,46.32855051921726
B_13_last_mean_diff,46.42311747513473
B_13_max,44.90536965466211
B_13_max_min_diff,44.76799425859696
B_13_mean,45.27038554626099
B_13_min,45.622420742322376
B_13_std,45.89876872862293
B_13_sum,43.89399109954148
B_14_first,44.42910567330803
B_14_last,46.58246199447503
B_14_last_first_diff,46.819760840407326
B_14_last_mean_diff,51.55532194762637
B_14_max,43.76338999258522
B_14_max_min_diff,43.552980327149605
B_14_mean,43.614661241167205
B_14_min,44.82693833252167
B_14_std,45.00837336591293
B_14_sum,42.44242723641409
B_15_first,46.45384152203942
B_15_last,46.430271474343044
B_15_last_first_diff,46.9060847839715
B_15_last_mean_diff,47.202528732485
B_15_max,45.162910261287976
B_15_max_min_diff,44.821669618368276
B_15_mean,45.46840287266119
B_15_min,45.95377600036933
B_15_std,45.96726886679186
B_15_sum,43.631538850334984
B_16_first,36.01593566699053
B_16_last,33.21678224791845
B_16_last_first_diff,39.555759953437956
B_16_last_mean_diff,44.475972606492974
B_16_max,34.82941409440789
B_16_max_min_diff,38.32915271048732
B_16_mean,40.64553208290734
B_16_min,33.89778528689885
B_16_std,44.60261986675134
B_16_sum,40.05444005777852
B_17_first,47.97258729780437
B_17_last,48.9370918164849
B_17_last_first_diff,47.359675372047946
B_17_last_mean_diff,47.53134593226088
B_17_max,47.463940077126736
B_17_max_min_diff,46.69482440351371
B_17_mean,47.0422022044291
B_17_min,47.23582604051323
B_17_std,46.8340851603891
B_17_sum,42.1140345709974
B_18_first,42.48938673286885
B_18_last,56.85857296883515
B_18_last_first_diff,46.03116951299852
B_18_last_mean_diff,46.950898193438746
B_18_max,42.00213296341046
B_18_max_min_diff,44.23816784797502
B_18_mean,43.537000876015036
B_18_min,43.52222829426331
B_18_std,45.24982496796682
B_18_sum,48.50143803597453
B_19_first,38.4078308032515
B_19_last,41.85306709765863
B_19_last_first_diff,42.41574019096243
B_19_last_mean_diff,44.682451038364086
B_19_max,39.578497326350906
B_19_max_min_diff,41.28334448172308
B_19_mean,42.293013457688346
B_19_min,37.067942113635084
B_19_std,43.86476706770797
B_19_sum,41.74188106254087
B_1_first,44.44701615661907
B_1_last,60.55738101565181
B_1_last_first_diff,49.69753876422009
B_1_last_mean_diff,53.29221553524998
B_1_max,44.470912564397075
B_1_max_min_diff,43.25696844188606
B_1_mean,43.78309399284483
B_1_min,46.145073529593624
B_1_std,44.1499965375389
B_1_sum,42.48765212309983
B_20_first,34.030288165135374
B_20_last,42.9021422555309
B_20_last_first_diff,39.741026237972484
B_20_last_mean_diff,44.39389808305483
B_20_max,34.12705842802602
B_20_max_min_diff,38.542559191115636
B_20_mean,40.21319693015822
B_20_min,32.8957976390965
B_20_std,43.68789992227468
B_20_sum,39.097138901177416
B_21_first,46.86805914751707
B_21_last,46.767295078191914
B_21_last_first_diff,46.38927224292408
B_21_last_mean_diff,46.96937000932163
B_21_max,46.65723621008229
B_21_max_min_diff,46.032923727740084
B_21_mean,47.199066801438356
B_21_min,46.837866741206625
B_21_std,47.228090908361835
B_21_sum,45.85264974482233
B_22_first,28.352194316405587
B_22_last,46.34511375154371
B_22_last_first_diff,32.94702597409587
B_22_last_mean_diff,44.0321534899503
B_22_max,30.056523641189163
B_22_max_min_diff,28.00971181635343
B_22_mean,42.24791639072527
B_22_min,29.865692014543107
B_22_std,39.618039467514855
B_22_sum,42.04783217667147
B_23_first,44.45779484414777
B_23_last,51.03382180475535
B_23_last_first_diff,47.411200148855045
B_23_last_mean_diff,49.183611234787406
B_23_max,45.197545802574886
B_23_max_min_diff,44.94188501811869
B_23_mean,43.6838308396345
B_23_min,44.316905744621536
B_23_std,46.02217062630064
B_23_sum,43.05085258904694
B_24_first,46.633672568839245
B_24_last,47.03177069682525
