feature,importance
B_10_max,59.002777982463215
B_11_max,58.75694474121415
B_12_max,58.683120157702845
B_13_max,56.12509701485063
B_14_max,56.2709196821511
B_15_max,55.80489829977937
B_16_max,52.900048400614125
B_17_max,58.26422173829727
B_18_max,56.7202815508469
B_19_max,55.73479501003993
B_1_max,59.76986026697451
B_20_max,57.90557769854655
B_21_max,57.079583519180844
B_22_max,62.936486933933494
B_23_max,61.80703198351458
B_24_max,56.05637123287209
B_25_max,55.96019419389067
B_26_max,59.784587368494805
B_27_max,55.671979726404594
B_28_max,55.74705840599802
B_29_max,50.70184750395403
B_2_max,61.237505306608405
B_30_max,61.74477311955198
B_30_te_max,61.97082311222332
B_31_max,0.0
B_32_max,38.638925957831326
B_33_max,49.96097404166409
B_36_max,55.38151445084975
B_37_max,59.58420479640921
B_38_max,60.28213901878462
B_38_te_max,61.65444330128552
B_39_max,46.51521685067075
B_3_max,67.85629627639725
B_40_max,57.695526119015405
B_41_max,39.82400291666357
B_42_max,37.38753715659364
B_4_max,61.55203566950101
B_5_max,62.49321020354337
B_6_max,57.04469004918566
B_7_max,62.70070076723152
B_8_max,58.62988056525471
B_9_max,70.2695549746913
D_102_max,55.90719406304307
D_103_max,38.734147908761386
D_104_max,53.924100698199965
D_105_max,56.188047860867684
D_106_max,51.25413193813655
D_107_max,44.688116336277595
D_108_max,41.552010401720004
D_109_max,0.0
D_110_max,46.99125122268308
D_111_max,41.97732921555841
D_112_max,51.31312807214745
D_113_max,47.39103380473031
D_114_max,46.30955410914008
D_114_te_max,52.36085481122872
D_115_max,56.25808724425168
D_116_max,29.141981277661387
D_116_te_max,50.98292071877504
D_117_max,48.94471791587777
D_117_te_max,52.085166804534836
D_118_max,56.06503872528656
D_119_max,56.03841449685873
D_120_max,49.089787457314614
D_120_te_max,53.22727032667065
D_121_max,56.7550837689096
D_122_max,49.87819959951903
D_123_max,46.372215773471105
D_124_max,52.84512470438584
D_125_max,41.87063409317176
D_126_max,38.88285393517737
D_126_te_max,44.72250751218662
D_127_max,41.9005499386611
D_128_max,56.69091895275234
D_129_max,51.59006101729862
D_130_max,52.455050686351015
D_131_max,53.06833396901383
