feature,importance
B_10_mean,57.205667329245564
B_11_mean,60.80125342407966
B_12_mean,56.07327639858628
B_13_mean,55.25917570574619
B_14_mean,54.64377767093008
B_15_mean,54.63660779807287
B_16_mean,53.206507335926844
B_17_mean,60.69736800555492
B_18_mean,61.11243536078791
B_19_mean,54.79600414977777
B_1_mean,63.6252211438767
B_20_mean,55.715559967061544
B_21_mean,56.656480762867346
B_22_mean,60.843712337512166
B_23_mean,60.48395969596686
B_24_mean,54.76180431579333
B_25_mean,54.504944242671044
B_26_mean,60.01471842828736
B_27_mean,54.58495110072302
B_28_mean,54.32562976913438
B_29_mean,49.913351726192445
B_2_mean,67.57526002808063
B_30_mean,59.442759713838335
B_30_te_mean,58.54607052552799
B_31_mean,39.82246737894088
B_32_mean,43.73054432690682
B_33_mean,62.783544413712725
B_36_mean,54.836869066724546
B_37_mean,62.67167911294101
B_38_mean,54.21100128749274
B_38_te_mean,58.697090818664535
B_39_mean,46.795753377956395
B_3_mean,65.11110007819818
B_40_mean,56.73777179160594
B_41_mean,42.820629214496165
B_42_mean,35.14218486672935
B_4_mean,59.2586124156491
B_5_mean,59.93910456096871
B_6_mean,55.03694885148637
B_7_mean,62.719635211061345
B_8_mean,60.335976651860875
B_9_mean,68.54785591207073
D_102_mean,54.689296433439374
D_103_mean,47.709951456670574
D_104_mean,52.68568426152913
D_105_mean,55.48302753487624
D_106_mean,51.972108740214566
D_107_mean,50.4059765128474
D_108_mean,43.10559399644941
D_109_mean,23.52987452202046
D_110_mean,47.36433285980998
D_111_mean,43.003741060203865
D_112_mean,57.138085680366565
D_113_mean,51.67114221110026
D_114_mean,51.18432004985577
D_114_te_mean,51.61776768898437
D_115_mean,55.19432495083349
D_116_mean,45.72954594645348
D_116_te_mean,46.39144905095086
D_117_mean,52.87775347697667
D_117_te_mean,54.27725753664093
D_118_mean,55.38232233106176
D_119_mean,55.31242802076606
D_120_mean,50.136893078612225
D_120_te_mean,53.90907972325862
D_121_mean,55.86832861675209
D_122_mean,53.04229058925696
D_123_mean,50.09949917841422
D_124_mean,54.080484198211735
D_125_mean,48.71716363989532
D_126_mean,48.199000667502986
D_126_te_mean,48.209786071713125
D_127_mean,42.59675668598655
D_128_mean,56.113835200979274
D_129_mean,54.83455538399919
D_130_mean,51.82412541871541
D_131_mean,52.49961672950292
D_132_mean,56.43956455130455
D_133_mean,55.14012645679854
D_134_mean,51.26690360162306
D_135_mean,45.613927316696795
D_136_mean,46.221585640662795
D_137_mean,45.188912853339076
D_138_mean,45.72714596743732
D_139_mean,47.04382225578918
D_140_mean,46.86397964944836
D_141_mean,50.11379035209746
D_142_mean,52.30016032632358
D_143_mean,46.08549840908124
D_144_mean,54.65062615478237
D_145_mean,49.380027683843004
D_39_mean,60.208295221755655
D_41_mean,57.78775642266077
D_42_mean,65.6827911298808
D_43_mean,61.626804659379324
D_44_mean,68.7775128098401
D_45_mean,61.47468520168937
D_46_mean,61.97571501749855
D_47_mean,58.62444802675783
D_48_mean,69.76300220737403
D_49_mean,54.141656457827565
D_50_mean,59.14406769712748
D_51_mean,55.335959475250235
D_52_mean,58.69471164865473
D_53_mean,57.401949303744885
D_54_mean,58.26838509417404
D_55_mean,56.23547416617359
D_56_mean,57.72503049530689
D_58_mean,55.88417683805602
D_59_mean,54.55856310429674
D_60_mean,54.746622389050195
D_61_mean,64.87613996676633
D_62_mean,62.85076972347525
D_63_mean,45.49497430112426
D_63_te_mean,46.44228334298586
D_64_mean,51.95637788978763
D_64_te_mean,53.212562643176874
D_65_mean,60.23631192157532
D_66_mean,46.81517977664177
D_66_te_mean,46.39942481870588
D_68_mean,51.97963482922505
D_68_te_mean,52.56202674806525
D_69_mean,55.254909008917906
D_70_mean,54.4990400942215
D_71_mean,54.75992411788778
D_72_mean,50.38461669420601
D_73_mean,41.46122555650661
D_74_mean,55.611070778892525
D_75_mean,58.14928154630828
D_76_mean,49.66959221531321
D_77_mean,60.08891242876967
D_78_mean,56.73638533880869
D_79_mean,51.02722225292031
D_80_mean,51.701687213063764
D_81_mean,47.91950704758337
D_82_mean,44.46224180886867
D_83_mean,48.40719301211292
D_84_mean,52.707910630675165
D_86_mean,37.38322392880769
D_87_mean,21.026560410410216
D_88_mean,35.417906970579025
D_89_mean,44.09658408530991
D_91_mean,52.67883111874303
D_92_mean,40.30979551996738
D_93_mean,31.9972988038679
D_94_mean,31.27350698557387
D_96_mean,41.347957314304516
P_2_mean,73.72908479982047
P_3_mean,62.80171201293315
P_4_mean,54.744965729292204
R_10_mean,62.9950633482734
R_11_mean,55.49620925803871
R_12_mean,46.80879200499658
R_13_mean,49.309087250062476
R_14_mean,47.43042035959849
R_15_mean,50.53309182227324
R_16_mean,56.85569821932452
R_17_mean,42.14688509787911
R_18_mean,0.0
R_19_mean,40.32329066792356
R_1_mean,70.93943683490295
R_20_mean,44.6797009145771
R_21_mean,48.36272648680317
R_22_mean,42.293780737487666
R_23_mean,25.244482984345417
R_24_mean,43.38495238734695
R_25_mean,39.73758364121177
R_26_mean,52.65414749073403
R_27_mean,59.74345559363424
R_28_mean,25.20892606662499
R_2_mean,62.974470663856756
R_3_mean,61.95942648902155
R_4_mean,56.512619943529984
R_5_mean,57.14577661809877
R_6_mean,61.213135256532496
R_7_mean,57.333617164950695
R_8_mean,56.47328156559567
R_9_mean,49.63276390121888
S_11_mean,56.177002595284954
S_12_mean,56.48167977544617
S_13_mean,54.24137224202978
S_15_mean,58.63226082544445
S_16_mean,55.91680805463348
S_17_mean,54.489115889059335
