feature,importance
B_1,59.23471867831561
B_10,56.59025242080915
B_11,71.41247284036012
B_12,54.668073393725315
B_13,51.59955832968393
B_14,58.92622286287733
B_15,51.63465242114859
B_16,51.03939420050719
B_17,52.480479769581564
B_18,61.6138147497167
B_19,57.34048704521068
B_2,65.77896767060615
B_20,56.9337065580411
B_21,47.56511271459793
B_22,59.04395453860782
B_23,65.55418876320128
B_24,48.57547513521496
B_25,56.1439285520433
B_26,51.415404715870054
B_27,35.90703597821669
B_28,60.73160704853115
B_29,50.73788875147674
B_3,70.45398086051145
B_30,42.54652589198076
B_30_te,58.94020888010118
B_31,30.46889407063908
B_32,35.2299036019969
B_33,50.46636188222743
B_36,43.40936378351889
B_37,58.4232683475584
B_38,64.14631861194631
B_38_te,62.39396003814469
B_39,47.30711456982596
B_4,60.99085425906962
B_40,54.442358536294336
B_41,44.38553707891732
B_42,45.29262493083949
B_5,58.79429512083622
B_6,55.62672594782916
B_7,65.47200915604546
B_8,65.97066129601119
B_9,59.21494184634661
D_102,49.727364920262616
D_103,41.95514434319802
D_104,48.644360288573246
D_105,51.5619085984356
D_106,55.43041393799676
D_107,46.78281156057252
D_108,35.22178302747031
D_109,35.65342047834983
D_110,49.87970920958185
D_111,45.109526882664426
D_112,60.34282482239184
D_113,51.28354808460771
D_114,49.525307586346166
D_114_te,54.71563674588696
D_115,53.20101402812012
D_116,36.057719900480514
D_116_te,50.93744837461438
D_117,50.068162187172405
D_117_te,56.573774828855775
D_118,55.73852626282681
D_119,57.02432157201345
D_120,55.591550874599506
D_120_te,54.837127920663
D_121,59.349784943877594
D_122,54.42573782898941
D_123,45.921077350099175
D_124,54.470664395363364
D_125,39.46021542196125
D_126,47.340409577102086
D_126_te,51.44714296090203
D_127,44.176282466195424
D_128,58.48179997265815
D_129,57.185627065722024
D_130,49.44730562361342
D_131,55.58032604829746
D_132,59.45169870206158
D_133,52.372918451545964
D_134,49.46256985866972
D_135,47.30536531819014
D_136,47.1191095810677
D_137,43.40564152516564
D_138,46.823929071395675
D_139,44.07920081730849
D_140,45.77534142208296
D_141,50.97142210209016
D_142,51.85666555526633
D_143,42.43036132333629
D_144,51.50351358367194
D_145,50.57673893397059
D_39,54.93138620973656
D_41,60.068054644279066
D_42,64.93874241118053
D_43,63.346212066008924
D_44,72.40546007348502
D_45,65.5834029728876
D_46,60.52695761602298
D_47,64.38354525371699
D_48,71.60143685486455
D_49,55.82850603969988
D_50,59.00606634965402
D_51,61.66096231329503
D_52,61.596728518696295
D_53,60.342215992541774
D_54,53.35507929435407
D_55,65.14420142360696
D_56,62.27162876130629
D_58,59.59930526690063
D_59,58.883996889809936
D_60,53.1360223207826
D_61,66.99933551092711
D_62,64.05818180687957
D_63_te,50.942567651349464
D_64_te,54.930245080973265
D_65,56.29802635857362
D_66,50.60643633194981
D_66_te,52.093720293628834
D_68,51.159569553546355
D_68_te,48.91621593823109
D_69,53.20029163850436
D_70,54.34804034160834
D_71,50.7641037801191
D_72,54.486084834932186
D_73,47.00662351299355
D_74,67.74455058299242
D_75,69.54066091308142
D_76,55.25645741180547
D_77,60.285717855074154
D_78,52.244158663821906
D_79,48.756830870601846
D_80,46.71279246810715
D_81,51.23405077039404
D_82,50.4694710996618
D_83,46.08171200573768
D_84,55.36784276397489
D_86,43.398316860915784
D_87,32.97765967539525
D_88,36.47594506008112
D_89,32.40956727653296
D_91,48.380385937395666
D_92,38.60749465234651
D_93,38.01749942613497
D_94,35.59345560136624
D_96,40.776520252197486
P_2,70.41531663753614
P_3,65.12230337498005
P_4,62.49727483975344
R_1,64.30440492540367
R_10,48.805582207777235
R_11,50.418007059789474
R_12,50.75108921924715
R_13,28.95669494068349
R_14,43.21958853294997
R_15,33.50716024438064
R_16,52.58988928814134
R_17,26.778479324913334
R_18,28.657904387244518
R_19,39.64914042495535
R_2,59.87678731813381
R_20,38.979422770504534
R_21,49.93846196880193
R_22,25.85519365209553
R_23,31.875376387686543
R_24,38.70400575156875
R_25,23.680779216315628
R_26,58.92427246466508
R_27,64.05355036953924
R_28,29.726601570644107
R_3,60.333370177782065
R_4,47.33119904190335
R_5,41.529061204827656
R_6,48.43197807768217
R_7,53.98600998394132
R_8,42.3380081272046
R_9,54.54958899074644
S_11,50.52576543392077
S_12,49.375132630089176
S_13,47.04603605019643
S_15,58.04228182345766
S_16,51.22112066683422
S_17,43.6124374907842
S_18,42.52301847516824
S_19,37.04475422005239
S_20,47.239633444941376
S_22,55.983397476722814
S_23,59.445593386906815
S_24,54.88484829465063
S_25,62.49380204970809
S_26,54.630399425362675
S_27,49.28260442550539
S_3,67.08891833070207
S_5,57.294782409504805
S_6,45.25577020872001
S_7,60.73887195244336
S_8,56.56914094066292
S_9,53.78215908732143
day,41.99121365914017
seasonality,37.01221258383513
