feature,importance
B_10_first,26.808196544647217
B_10_last,30.513188362121582
B_10_last_first_diff,31.46358633041382
B_10_last_mean_diff,34.74049949645996
B_10_max,29.169806480407715
B_10_max_min_diff,29.16822624206543
B_10_mean,29.647247791290283
B_10_min,29.135343074798584
B_10_std,30.16904067993164
B_10_sum,27.94538688659668
B_11_first,28.91820526123047
B_11_last,47.70555019378662
B_11_last_first_diff,36.14879608154297
B_11_last_mean_diff,102.3916425704956
B_11_max,29.685436248779297
B_11_max_min_diff,28.674668312072754
B_11_mean,31.42518138885498
B_11_min,29.169362545013428
B_11_std,27.650392055511475
B_11_sum,31.39691972732544
B_12_first,29.367300510406494
B_12_last,28.93158721923828
B_12_last_first_diff,28.327300548553467
B_12_last_mean_diff,29.467368125915527
B_12_max,29.904454708099365
B_12_max_min_diff,28.31631851196289
B_12_mean,30.91896390914917
B_12_min,28.739849090576172
B_12_std,28.7351016998291
B_12_sum,30.794923305511475
B_13_first,29.108582496643066
B_13_last,27.2669415473938
B_13_last_first_diff,28.252100944519043
B_13_last_mean_diff,29.48378324508667
B_13_max,29.87186336517334
B_13_max_min_diff,28.221724033355713
B_13_mean,33.083083629608154
B_13_min,28.617551803588867
B_13_std,29.146012783050537
B_13_sum,34.91732978820801
B_14_first,29.558026790618896
B_14_last,35.34036207199097
B_14_last_first_diff,31.339842319488525
B_14_last_mean_diff,48.743289947509766
B_14_max,31.572213649749756
B_14_max_min_diff,30.669668197631836
B_14_mean,32.36636686325073
B_14_min,28.709659576416016
B_14_std,30.04103422164917
B_14_sum,32.32187461853027
B_15_first,28.546380043029785
B_15_last,29.030531883239746
B_15_last_first_diff,29.703869342803955
B_15_last_mean_diff,31.980597496032715
B_15_max,29.169154167175293
B_15_max_min_diff,28.075851440429688
B_15_mean,28.76741933822632
B_15_min,28.162667274475098
B_15_std,27.85122585296631
B_15_sum,27.49609661102295
B_16_first,38.00177335739136
B_16_last,30.7101731300354
B_16_last_first_diff,29.458860874176025
B_16_last_mean_diff,31.094996452331543
B_16_max,31.059809684753418
B_16_max_min_diff,29.24153757095337
B_16_mean,29.287153244018555
B_16_min,28.303068161010742
B_16_std,30.89354658126831
B_16_sum,30.358933448791504
B_17_first,29.497201919555664
B_17_last,29.752612113952637
B_17_last_first_diff,29.19993257522583
B_17_last_mean_diff,29.1745285987854
B_17_max,28.055309772491455
B_17_max_min_diff,28.351299285888672
B_17_mean,29.440860271453857
B_17_min,29.358261585235596
B_17_std,27.899187088012695
B_17_sum,29.224350452423096
B_18_first,27.35256576538086
B_18_last,30.5154767036438
B_18_last_first_diff,29.089398860931396
B_18_last_mean_diff,34.61040258407593
B_18_max,29.734656810760498
B_18_max_min_diff,27.363369464874268
B_18_mean,33.12548303604126
B_18_min,28.084388732910156
B_18_std,28.152738571166992
B_18_sum,33.13356113433838
B_19_first,35.3106427192688
B_19_last,31.71941614151001
B_19_last_first_diff,29.27512216567993
B_19_last_mean_diff,31.05981731414795
B_19_max,26.71677589416504
B_19_max_min_diff,29.105010509490967
B_19_mean,30.95521879196167
B_19_min,32.20992612838745
B_19_std,30.139764308929443
B_19_sum,30.292672157287598
B_1_first,28.70875358581543
B_1_last,93.51248741149902
B_1_last_first_diff,30.693522930145264
B_1_last_mean_diff,81.23733329772949
B_1_max,29.729914665222168
B_1_max_min_diff,28.250935554504395
B_1_mean,29.17149257659912
B_1_min,29.682429313659668
B_1_std,29.63980770111084
B_1_sum,28.503794193267822
B_20_first,27.07745122909546
B_20_last,34.36008548736572
B_20_last_first_diff,31.993553161621094
B_20_last_mean_diff,32.554458141326904
B_20_max,35.88129138946533
B_20_max_min_diff,28.8322172164917
B_20_mean,28.422776699066162
B_20_min,26.853868007659912
B_20_std,28.845849990844727
B_20_sum,28.172142028808594
B_21_first,27.788971424102783
B_21_last,27.510391235351562
B_21_last_first_diff,28.633273601531982
B_21_last_mean_diff,29.4238862991333
B_21_max,29.08515214920044
B_21_max_min_diff,29.763333320617676
B_21_mean,30.82766342163086
B_21_min,28.73622989654541
B_21_std,29.16987180709839
B_21_sum,29.789000988006592
B_22_first,19.751830339431763
B_22_last,40.38087463378906
B_22_last_first_diff,32.9078164100647
B_22_last_mean_diff,29.988540172576904
B_22_max,21.65068006515503
B_22_max_min_diff,26.66719365119934
B_22_mean,29.554743766784668
B_22_min,27.4503755569458
B_22_std,26.668403148651123
B_22_sum,27.7007155418396
B_23_first,28.947798252105713
B_23_last,31.893654823303223
B_23_last_first_diff,31.313682079315186
B_23_last_mean_diff,31.53360891342163
B_23_max,31.01848554611206
B_23_max_min_diff,30.213478088378906
B_23_mean,28.779330730438232
B_23_min,29.70405673980713
B_23_std,32.0274453163147
B_23_sum,30.348430633544922
B_24_first,28.37998628616333
B_24_last,28.895192623138428
B_24_last_first_diff,28.026217460632324
B_24_last_mean_diff,29.577363967895508
B_24_max,28.174250602722168
B_24_max_min_diff,27.844841957092285
B_24_mean,27.170355319976807
B_24_min,28.867791652679443
B_24_std,28.8371844291687
B_24_sum,28.169771671295166
B_25_first,27.999133586883545
B_25_last,29.7434401512146
B_25_last_first_diff,31.64200210571289
B_25_last_mean_diff,41.66680335998535
B_25_max,27.876098155975342
B_25_max_min_diff,29.027760982513428
B_25_mean,29.3157639503479
B_25_min,28.81855583190918
B_25_std,27.728113651275635
B_25_sum,29.61435890197754
B_26_first,28.334815502166748
B_26_last,28.601562023162842
B_26_last_first_diff,29.666335582733154
B_26_last_mean_diff,28.590932369232178
B_26_max,27.98462200164795
B_26_max_min_diff,28.05059003829956
B_26_mean,27.543449878692627
B_26_min,27.006691455841064
B_26_std,28.884098529815674
