feature,importance
B_10_first,33.64228963851929
B_10_last,42.98474740982056
B_10_last_first_diff,39.8409743309021
B_10_last_mean_diff,49.874860763549805
B_10_max,39.3553204536438
B_10_max_min_diff,38.259793281555176
B_10_mean,40.823057651519775
B_10_min,39.30712699890137
B_10_std,38.44339370727539
B_10_sum,35.66515588760376
B_11_first,40.48739051818848
B_11_last,95.739990234375
B_11_last_first_diff,50.16831731796265
B_11_last_mean_diff,193.15187072753906
B_11_max,42.950496196746826
B_11_max_min_diff,35.25584554672241
B_11_mean,42.83841896057129
B_11_min,40.64630174636841
B_11_std,39.42447519302368
B_11_sum,42.258880615234375
B_12_first,37.43967866897583
B_12_last,35.08088731765747
B_12_last_first_diff,37.50440454483032
B_12_last_mean_diff,41.2874231338501
B_12_max,44.46440935134888
B_12_max_min_diff,34.477927684783936
B_12_mean,42.19286394119263
B_12_min,37.724207401275635
B_12_std,37.41195631027222
B_12_sum,43.50917625427246
B_13_first,39.07347011566162
B_13_last,34.46787786483765
B_13_last_first_diff,37.863759994506836
B_13_last_mean_diff,35.61349010467529
B_13_max,40.20807647705078
B_13_max_min_diff,39.94275951385498
B_13_mean,47.20240783691406
B_13_min,39.48921585083008
B_13_std,36.626957416534424
B_13_sum,56.555253982543945
B_14_first,39.20460271835327
B_14_last,43.99899482727051
B_14_last_first_diff,41.98088502883911
B_14_last_mean_diff,77.06783294677734
B_14_max,39.25050401687622
B_14_max_min_diff,40.15026235580444
B_14_mean,42.69386386871338
B_14_min,37.88350248336792
B_14_std,43.72523021697998
B_14_sum,39.190114974975586
B_15_first,33.472060203552246
B_15_last,37.35478353500366
B_15_last_first_diff,37.9416069984436
B_15_last_mean_diff,45.631242752075195
B_15_max,37.264437675476074
B_15_max_min_diff,32.105050563812256
B_15_mean,36.11165523529053
B_15_min,35.29617500305176
B_15_std,34.967013359069824
B_15_sum,31.137775421142578
B_16_first,46.17318820953369
B_16_last,43.41594171524048
B_16_last_first_diff,38.159929275512695
B_16_last_mean_diff,38.548919677734375
B_16_max,57.68333911895752
B_16_max_min_diff,40.82763147354126
B_16_mean,38.26398801803589
B_16_min,42.620949268341064
B_16_std,40.12730312347412
B_16_sum,47.77026557922363
B_17_first,37.41887855529785
B_17_last,40.35722780227661
B_17_last_first_diff,40.00315189361572
